CSV文件,列序号,中文字段,字段名,危险等级
Activity_ALL.csv,1,流水ID,Id,
Activity_ALL.csv,2,备注,Remarks,
Activity_ALL.csv,3,Key_名称,Key_Name,
Activity_ALL.csv,4,名称,Name,
Activity_ALL.csv,5,活动时间类型,TimeType,
Activity_ALL.csv,6,活动开始时间,StartTime,1
Activity_ALL.csv,7,活动结束时间,EndTime,1
Activity_ALL.csv,8,创角时间,CreateRole,
Activity_ALL.csv,9,排序权重,weight,1
Activity_ALL.csv,10,功能开启ID,SystemConfigId,
Activity_ALL.csv,11,是否有独立入口,ShowMode,
Activity_ALL.csv,12,活动类型,Type,
Activity_ALL.csv,13,活动参数id,ActivityParam,
Activity_ALL.csv,14,任务,task,
Activity_ALL.csv,15,按钮Icon,ButtonIcon,
Activity_ALL.csv,16,关联章节id,ChapterId,
Activity_DailySignReward.csv,1,流水ID,Id,
Activity_DailySignReward.csv,2,活动id,ActvityId,
Activity_DailySignReward.csv,3,签到类型,SignType,
Activity_DailySignReward.csv,4,Key_标题,Key_Title,
Activity_DailySignReward.csv,5,标题,Title,
Activity_DailySignReward.csv,6,签到奖励,Rewards,1
Activity_DailySignReward.csv,7,跳转id,Path,
Activity_DailySignReward.csv,8,图标显示,Icon,
Activity_DailySignReward.csv,9,Key_描述,Key_Des,
Activity_DailySignReward.csv,10,描述,Des,
Activity_RookieSevenPeriod.csv,1,流水ID,Id,
Activity_RookieSevenPeriod.csv,2,阶段奖励点数,PeriodPoint,1
Activity_RookieSevenPeriod.csv,3,阶段奖励,PeriodRewards,1
Activity_RookieSevenPeriod.csv,4,阶段奖励星级数量,StarNum,1
Activity_RookieSevenPeriod.csv,5,阶段奖励星级图标,StarPic,1
Activity_RookieSevenPeriod.csv,6,阶段奖励道具图标,ItemPic,1
Activity_SendReward.csv,1,流水ID,Id,
Activity_SendReward.csv,2,奖励,Reward,1
Activity_SevenDaily.csv,1,流水ID,Id,
Activity_SevenDaily.csv,2,Key_名称,Key_Name,
Activity_SevenDaily.csv,3,名称,Name,
Activity_SevenDaily.csv,4,条件id,ConditionID,
